anio,mes_num,pm2_5,pm10,nitrogen_dioxide,carbon_monoxide,ozone,mes
2022,8,8.59,12.56,26.78,340.5,20.1,Agosto
2022,9,10.04,14.44,29.03,402.22,17.64,Setiembre
2022,10,7.54,10.89,24.58,278.03,16.62,Octubre
2022,11,7.28,10.5,27.71,281.87,14.59,Noviembre
2022,12,5.81,8.51,22.21,192.69,27.86,Diciembre
2023,1,5.98,8.77,22.55,189.81,29.85,Enero
2023,2,6.01,8.91,19.28,176.24,37.29,Febrero
2023,3,9.24,13.57,22.34,251.18,30.72,Marzo
2023,4,13.19,19.27,24.37,269.08,33.93,Abril
2023,5,10.71,15.62,23.61,308.25,24.22,Mayo
2023,6,11.25,16.26,24.98,349.11,22.13,Junio
2023,7,7.82,11.35,8.53,238.83,33.3,Julio
2023,8,8.01,11.93,9.26,262.91,35.96,Agosto
2023,9,7.89,11.4,10.21,284.9,34.83,Setiembre
2023,10,7.36,10.58,14.69,374.26,30.45,Octubre
2023,11,6.05,8.73,10.66,277.33,34.02,Noviembre
2023,12,5.37,7.79,6.45,205.74,41.09,Diciembre
2024,1,5.87,8.65,5.72,200.33,45.35,Enero
2024,2,5.98,8.58,6.49,239.07,50.74,Febrero
2024,3,10.71,15.4,7.05,257.73,48.43,Marzo
2024,4,9.36,13.47,6.63,230.65,44.42,Abril
2024,5,11.57,16.55,9.65,288.57,37.48,Mayo
2024,6,9.82,14.01,11.78,323.84,32.01,Junio
2024,7,7.15,10.26,8.81,244.01,34.79,Julio
2024,8,8.18,12.06,9.51,266.92,35.92,Agosto
2024,9,7.53,10.84,13.01,387.76,33.57,Setiembre
2024,10,6.71,9.67,12.28,360.0,31.28,Octubre
2024,11,5.29,6.14,13.16,592.63,31.73,Noviembre
2024,12,5.41,5.94,8.55,281.81,45.12,Diciembre
