anio,mes_num,temperature_2m,relative_humidity_2m,windspeed_10m,mes
2022,8,19.28,86.69,6.14,Agosto
2022,9,18.78,91.01,5.08,Setiembre
2022,10,19.13,87.02,6.1,Octubre
2022,11,18.89,88.33,6.12,Noviembre
2022,12,18.93,75.28,10.57,Diciembre
2023,1,19.38,71.51,11.81,Enero
2023,2,20.04,64.83,15.21,Febrero
2023,3,19.79,73.3,9.99,Marzo
2023,4,20.84,66.96,10.42,Abril
2023,5,21.39,74.27,7.93,Mayo
2023,6,20.3,86.41,5.86,Junio
2023,7,20.71,82.27,7.84,Julio
2023,8,20.46,84.22,7.26,Agosto
2023,9,20.43,83.13,7.08,Setiembre
2023,10,19.51,91.44,5.2,Octubre
2023,11,19.92,87.35,6.66,Noviembre
2023,12,20.31,76.55,11.02,Diciembre
2024,1,20.79,71.49,11.32,Enero
2024,2,20.69,70.15,12.32,Febrero
2024,3,21.79,67.49,9.79,Marzo
2024,4,21.46,69.62,9.91,Abril
2024,5,21.2,82.67,5.8,Mayo
2024,6,19.84,91.69,5.0,Junio
2024,7,20.38,86.23,6.42,Julio
2024,8,20.07,85.76,6.44,Agosto
2024,9,19.68,90.63,5.34,Setiembre
2024,10,19.47,90.02,6.0,Octubre
2024,11,19.06,91.28,5.44,Noviembre
2024,12,20.0,78.17,9.68,Diciembre
