anio,mes,punto_conteo,liviano,dos_tres_ejes,cuatro_ejes,cinco_mas_ejes,autobus,total,ubicacion
2014,Enero,10540,1945773,19721,16070,26142,16887,2024593,Santa Ana Ciudad Colon
2014,Enero,22450,314226,11148,3034,8939,11183,348530,Ciudad Colon
2014,Enero,2900,3008295,31763,38483,32554,25662,3136757,Escazu
2014,Enero,30620,634028,16603,5437,21221,11121,688410,Castro Madriz Sector A
2014,Enero,31550,132063,4117,1316,740,1579,139815,Castro Madriz Sector B
2014,Enero,41960,607754,16052,5312,23388,10815,663321,Orotina
2014,Enero,500,997723,13023,32776,24419,7712,1075653,Sabana San Jose
2014,Enero,54950,566795,14455,4993,19186,10157,615586,Turrucares
2014,Enero,62180,398116,11525,4816,17125,7729,439311,Balsa de Atenas
2014,Enero,7100,2184202,19439,17046,27063,18008,2265758,Santa Ana
2014,Enero,71335,400623,12091,5672,26450,8629,453465,Pozon de Orotina
2014,Enero,75400,443815,23919,11173,49383,8110,536401,Caldera
2014,Febrero,10540,1846079,18669,14614,24334,16687,1920383,Santa Ana Ciudad Colon
2014,Febrero,22450,292282,10738,2749,9318,7819,322906,Ciudad Colon
2014,Febrero,2900,2910138,30611,35973,29750,26319,3032791,Escazu
2014,Febrero,30620,525086,15930,4994,20380,10552,576942,Castro Madriz Sector A
2014,Febrero,31550,124394,3761,1255,630,1479,131519,Castro Madriz Sector B
2014,Febrero,41960,488897,15497,4408,23219,10060,542081,Orotina
2014,Febrero,500,1009529,12878,30070,22444,8202,1083123,Sabana San Jose
2014,Febrero,54950,451094,13963,4526,17439,9594,496616,Turrucares
2014,Febrero,62180,320431,11206,4130,17618,7022,360407,Balsa de Atenas
2014,Febrero,7100,2111956,18725,15389,25078,17901,2189049,Santa Ana
2014,Febrero,71335,321165,11382,4721,27439,7852,372559,Pozon de Orotina
2014,Febrero,75400,354837,20966,12967,46358,6406,441536,Caldera
2014,Marzo,10540,2035531,20833,16336,25772,18797,2117269,Santa Ana Ciudad Colon
2014,Marzo,22450,323708,12215,3321,10370,9454,359068,Ciudad Colon
2014,Marzo,2900,3202348,34160,39563,31867,29392,3337330,Escazu
2014,Marzo,30620,571459,17601,5715,23085,11978,629838,Castro Madriz Sector A
2014,Marzo,31550,139653,4359,1336,674,1769,147791,Castro Madriz Sector B
2014,Marzo,41960,527902,16594,5323,25760,11529,587108,Orotina
2014,Marzo,500,1095520,14682,32769,23446,9046,1175463,Sabana San Jose
2014,Marzo,54950,484666,15322,5097,19673,10650,535408,Turrucares
2014,Marzo,62180,346390,12104,4577,20174,7902,391147,Balsa de Atenas
2014,Marzo,7100,2316803,21204,17083,26772,20014,2401876,Santa Ana
2014,Marzo,71335,347969,12614,5543,29847,9002,404975,Pozon de Orotina
2014,Marzo,75400,339726,12235,5705,28353,9206,395225,Caldera
2014,Abril,10540,1828882,18473,14998,23713,16906,1902972,Santa Ana Ciudad Colon
2014,Abril,22450,276732,10510,2642,8034,12015,309933,Ciudad Colon
2014,Abril,2900,2872488,30652,35100,28892,26262,2993394,Escazu
2014,Abril,30620,567899,15843,5068,20030,10986,619826,Castro Madriz Sector A
2014,Abril,31550,120982,4015,1206,487,1574,128264,Castro Madriz Sector B
2014,Abril,41960,546250,15433,4997,22812,10749,600241,Orotina
2014,Abril,500,983632,13794,29405,21104,8367,1056302,Sabana San Jose
