"Año","Mes","Puesto de Peaje","Liviano","Medianos","Cuatro Ejes","Furgón","Motocicletas","Autobus","Total"
"2025","Junio     ","Zurquí","118168","18163","","30437","8652","6692","182112"
"2025","Mayo      ","Zurquí","133485","20052","","32034","9764","7597","202932"
"2025","Abril     ","Zurquí","140438","18288","","27930","9316","8596","204568"
"2025","Marzo     ","Zurquí","150578","20934","","31146","11425","9485","223568"
"2025","Febrero   ","Zurquí","130599","18647","","26516","9142","8208","193112"
"2025","Enero     ","Zurquí","120111","17106","","26015","7410","7882","178524"
"2024","Diciembre ","Zurquí","63195","9585","","14500","4048","3988","95316"
"2024","Noviembre ","Zurquí","103087","15727","","24325","6998","6531","156668"
"2024","Octubre   ","Zurquí","118030","18314","","26201","7993","6988","177526"
"2024","Setiembre ","Zurquí","124756","18770","","26134","9153","7286","186099"
"2024","Agosto    ","Zurquí","145508","20461","","27435","10325","8830","212559"
"2024","Junio     ","Zurquí","132295","19108","","26350","8318","8545","194616"
"2024","Junio     ","Zurquí","115833","17658","","27383","7826","7140","175840"
"2024","Mayo      ","Zurquí","123850","19044","","28348","8500","7332","187074"
"2024","Abril     ","Zurquí","123439","18211","","27053","8427","7799","184929"
"2024","Marzo     ","Zurquí","142170","18470","","26555","9255","9870","206320"
"2024","Febrero   ","Zurquí","92252","14624","","23341","6082","6675","142974"
"2024","Enero     ","Zurquí","136606","18791","","26913","8008","9770","200088"
"2023","Noviembre ","Zurquí","119245","18686","","25777","7223","8261","179192"
"2023","Octubre   ","Zurquí","110568","16527","","23654","7080","7331","165160"
"2023","Agosto    ","Zurquí","125384","18414","","24227","7404","7015","182444"
"2023","Julio     ","Zurquí","128176","17793","","23220","6986","7680","183855"
"2023","Junio     ","Zurquí","119524","18916","","24709","7534","7537","178220"
"2023","Mayo      ","Zurquí","127023","18839","","27508","7538","6264","187172"
"2023","Abril     ","Zurquí","130146","15476","","23269","7269","5842","182002"
"2023","Marzo     ","Zurquí","120005","16645","","27374","6743","5768","176535"
"2023","Febrero   ","Zurquí","119910","16549","","23236","6408","5586","171689"
"2023","Enero     ","Zurquí","129966","16996","","22153","6258","5429","180802"
"2022","Noviembre ","Zurquí","110723","16103","","22950","6256","4067","160099"
"2022","Octubre   ","Zurquí","113736","16729","","23793","6515","4198","164971"
"2022","Agosto    ","Zurquí","123292","19191","","25357","6393","5102","179335"
"2022","Julio     ","Zurquí","77392","12264","","16456","3874","3209","113195"
"2022","Junio     ","Zurquí","76394","13877","","18477","4039","2817","115604"
