time,temperature_2m,relative_humidity_2m,windspeed_10m
2022-08-04T00:00,17.2,91,10.2
2022-08-04T01:00,16.8,92,8.4
2022-08-04T02:00,15.9,93,6.5
2022-08-04T03:00,15.4,94,6.1
2022-08-04T04:00,15.1,94,6.2
2022-08-04T05:00,15.1,95,6.6
2022-08-04T06:00,15.9,92,9.5
2022-08-04T07:00,18.5,91,9.0
2022-08-04T08:00,21.1,83,6.0
2022-08-04T09:00,22.8,75,2.5
2022-08-04T10:00,22.6,76,2.9
2022-08-04T11:00,21.6,78,5.7
2022-08-04T12:00,21.0,84,5.9
2022-08-04T13:00,21.1,89,3.7
2022-08-04T14:00,20.5,81,6.8
2022-08-04T15:00,19.3,93,4.6
2022-08-04T16:00,19.0,95,3.5
2022-08-04T17:00,18.7,96,2.9
2022-08-04T18:00,18.8,95,2.9
2022-08-04T19:00,18.4,97,3.3
2022-08-04T20:00,18.0,97,4.7
2022-08-04T21:00,18.0,92,6.2
2022-08-04T22:00,17.9,92,7.3
2022-08-04T23:00,17.5,92,7.6
2022-08-05T00:00,17.2,93,6.9
2022-08-05T01:00,17.1,94,8.0
2022-08-05T02:00,16.9,94,8.4
2022-08-05T03:00,16.8,92,9.3
2022-08-05T04:00,16.8,91,9.1
2022-08-05T05:00,16.5,91,9.1
2022-08-05T06:00,16.9,91,9.9
2022-08-05T07:00,19.0,88,9.9
2022-08-05T08:00,21.3,80,10.6
2022-08-05T09:00,23.0,71,10.8
2022-08-05T10:00,24.4,65,9.8
2022-08-05T11:00,24.9,65,12.2
2022-08-05T12:00,23.9,71,9.2
2022-08-05T13:00,21.6,82,7.2
2022-08-05T14:00,21.4,83,3.2
2022-08-05T15:00,22.1,81,3.3
2022-08-05T16:00,22.1,81,2.8
2022-08-05T17:00,21.4,85,1.6
2022-08-05T18:00,19.7,99,2.3
2022-08-05T19:00,19.6,93,2.9
2022-08-05T20:00,19.5,87,3.3
2022-08-05T21:00,19.0,89,3.2
2022-08-05T22:00,18.5,90,5.9
2022-08-05T23:00,18.1,90,8.6
2022-08-06T00:00,17.6,92,8.4
2022-08-06T01:00,17.4,92,9.1
2022-08-06T02:00,17.0,95,8.6
2022-08-06T03:00,16.9,96,8.3
2022-08-06T04:00,17.0,95,7.9
2022-08-06T05:00,17.3,91,8.6
2022-08-06T06:00,18.0,92,6.9
2022-08-06T07:00,19.8,88,7.7
2022-08-06T08:00,21.2,81,8.7
2022-08-06T09:00,21.8,79,8.7
2022-08-06T10:00,23.0,76,8.0
2022-08-06T11:00,20.6,94,4.7
2022-08-06T12:00,20.6,92,1.5
2022-08-06T13:00,21.0,95,2.1
2022-08-06T14:00,20.8,97,3.6
2022-08-06T15:00,20.5,96,5.1
2022-08-06T16:00,20.1,96,6.6
2022-08-06T17:00,19.5,97,5.4
2022-08-06T18:00,19.4,93,6.6
2022-08-06T19:00,19.0,92,7.3
2022-08-06T20:00,18.4,93,6.2
2022-08-06T21:00,18.0,93,8.0
2022-08-06T22:00,17.9,93,7.6
2022-08-06T23:00,17.8,93,5.9
2022-08-07T00:00,17.8,92,5.5
2022-08-07T01:00,17.5,93,4.5
2022-08-07T02:00,17.4,93,7.4
2022-08-07T03:00,17.5,92,8.2
2022-08-07T04:00,17.1,92,8.1
2022-08-07T05:00,16.9,92,8.0
2022-08-07T06:00,16.9,92,10.7
2022-08-07T07:00,19.5,86,9.4
2022-08-07T08:00,21.4,79,6.8
2022-08-07T09:00,22.6,73,4.4
2022-08-07T10:00,23.9,68,1.8
2022-08-07T11:00,23.4,72,6.3
2022-08-07T12:00,22.4,75,3.8
2022-08-07T13:00,21.8,81,4.8
2022-08-07T14:00,21.6,78,3.4
2022-08-07T15:00,20.5,86,5.6
2022-08-07T16:00,20.0,90,5.9
2022-08-07T17:00,19.4,93,4.7
2022-08-07T18:00,18.9,97,1.8
2022-08-07T19:00,19.3,93,2.1
2022-08-07T20:00,19.4,91,1.5
2022-08-07T21:00,17.6,98,3.9
2022-08-07T22:00,17.3,98,3.4
2022-08-07T23:00,17.1,95,4.8
2022-08-08T00:00,16.6,97,5.4
2022-08-08T01:00,16.4,98,6.9
2022-08-08T02:00,16.5,97,7.3
2022-08-08T03:00,16.5,95,8.7
2022-08-08T04:00,16.6,94,8.5
2022-08-08T05:00,16.5,94,7.2
2022-08-08T06:00,17.5,94,8.7
2022-08-08T07:00,19.5,91,6.6
2022-08-08T08:00,20.5,90,2.6
2022-08-08T09:00,20.6,89,2.5
2022-08-08T10:00,21.8,86,3.7
2022-08-08T11:00,21.4,87,2.6
2022-08-08T12:00,22.1,85,2.3
2022-08-08T13:00,22.8,82,3.7
2022-08-08T14:00,21.9,86,3.6
2022-08-08T15:00,22.4,79,4.3
2022-08-08T16:00,22.4,76,4.8
2022-08-08T17:00,21.6,80,4.2
2022-08-08T18:00,21.1,86,3.4
2022-08-08T19:00,20.5,83,2.9
2022-08-08T20:00,19.9,86,4.0
2022-08-08T21:00,19.7,86,5.4
2022-08-08T22:00,19.5,84,6.5
2022-08-08T23:00,19.5,82,7.8
2022-08-09T00:00,19.0,84,6.6
2022-08-09T01:00,18.5,85,6.4
2022-08-09T02:00,18.1,86,6.8
2022-08-09T03:00,18.0,86,7.0
2022-08-09T04:00,17.7,88,5.4
2022-08-09T05:00,17.9,88,5.8
2022-08-09T06:00,18.2,87,9.7
2022-08-09T07:00,20.0,81,12.0
2022-08-09T08:00,22.2,73,11.7
2022-08-09T09:00,24.1,66,10.7
2022-08-09T10:00,24.6,65,9.6
2022-08-09T11:00,26.0,61,8.4
2022-08-09T12:00,26.2,60,8.4
2022-08-09T13:00,24.0,69,2.9
2022-08-09T14:00,22.3,77,4.9
2022-08-09T15:00,22.0,80,1.3
2022-08-09T16:00,21.6,84,2.6
2022-08-09T17:00,21.0,86,2.3
2022-08-09T18:00,19.7,90,5.7
2022-08-09T19:00,19.5,87,7.0
2022-08-09T20:00,19.0,88,7.2
2022-08-09T21:00,18.5,89,4.2
2022-08-09T22:00,18.4,90,3.9
2022-08-09T23:00,18.8,90,7.4
2022-08-10T00:00,18.2,91,9.7
2022-08-10T01:00,18.1,89,9.0
2022-08-10T02:00,17.3,90,8.0
2022-08-10T03:00,16.9,90,10.1
2022-08-10T04:00,16.8,88,9.0
2022-08-10T05:00,16.5,89,10.2
2022-08-10T06:00,17.9,84,10.8
2022-08-10T07:00,19.9,81,11.9
2022-08-10T08:00,21.9,75,13.2
2022-08-10T09:00,23.4,69,12.5
2022-08-10T10:00,24.4,67,10.5
2022-08-10T11:00,25.1,63,9.7
2022-08-10T12:00,25.3,62,8.4
2022-08-10T13:00,24.0,69,7.3
2022-08-10T14:00,23.6,71,8.2
2022-08-10T15:00,24.4,66,5.9
2022-08-10T16:00,23.2,69,1.8
2022-08-10T17:00,22.5,74,3.3
2022-08-10T18:00,20.1,89,1.8
2022-08-10T19:00,19.7,90,3.1
2022-08-10T20:00,19.6,86,4.7
2022-08-10T21:00,19.0,87,7.2
2022-08-10T22:00,18.5,89,8.2
2022-08-10T23:00,18.1,89,6.8
2022-08-11T00:00,17.9,89,5.0
2022-08-11T01:00,17.4,90,5.1
2022-08-11T02:00,17.4,90,6.5
2022-08-11T03:00,17.0,92,6.8
2022-08-11T04:00,16.6,94,5.4
2022-08-11T05:00,17.1,91,8.4
2022-08-11T06:00,17.4,89,9.4
2022-08-11T07:00,20.0,82,8.6
2022-08-11T08:00,22.5,73,3.9
2022-08-11T09:00,23.6,70,4.0
2022-08-11T10:00,22.4,76,7.5
2022-08-11T11:00,20.9,83,8.9
2022-08-11T12:00,21.5,91,6.9
2022-08-11T13:00,21.4,80,5.0
2022-08-11T14:00,21.6,85,6.0
2022-08-11T15:00,20.4,88,4.3
2022-08-11T16:00,20.0,89,5.8
2022-08-11T17:00,19.6,91,2.0
2022-08-11T18:00,18.7,98,1.1
2022-08-11T19:00,18.3,96,3.1
2022-08-11T20:00,18.1,96,3.7
2022-08-11T21:00,18.4,93,7.1
2022-08-11T22:00,17.7,94,7.6
2022-08-11T23:00,17.2,95,9.3
2022-08-12T00:00,16.6,97,7.1
2022-08-12T01:00,16.2,97,5.6
2022-08-12T02:00,16.0,98,5.1
2022-08-12T03:00,15.9,98,3.3
2022-08-12T04:00,15.6,97,4.0
2022-08-12T05:00,15.5,97,5.1
2022-08-12T06:00,16.8,90,3.4
2022-08-12T07:00,18.1,90,7.6
2022-08-12T08:00,20.0,87,4.8
2022-08-12T09:00,21.6,78,1.8
2022-08-12T10:00,22.0,79,0.7
2022-08-12T11:00,22.8,77,2.6
2022-08-12T12:00,22.7,75,7.4
2022-08-12T13:00,21.5,83,3.1
2022-08-12T14:00,21.3,87,3.4
2022-08-12T15:00,19.8,90,7.2
2022-08-12T16:00,18.5,95,4.2
2022-08-12T17:00,18.4,98,4.6
2022-08-12T18:00,18.5,98,0.8
2022-08-12T19:00,17.8,100,3.1
2022-08-12T20:00,18.4,99,0.8
2022-08-12T21:00,18.2,98,3.1
2022-08-12T22:00,18.4,96,2.8
2022-08-12T23:00,18.0,98,2.9
2022-08-13T00:00,18.1,96,3.1
2022-08-13T01:00,17.6,98,3.2
2022-08-13T02:00,17.0,99,3.6
2022-08-13T03:00,16.8,98,4.0
2022-08-13T04:00,16.8,96,4.8
2022-08-13T05:00,16.0,97,4.8
2022-08-13T06:00,16.8,91,8.2
2022-08-13T07:00,19.1,91,9.9
2022-08-13T08:00,21.5,83,9.8
2022-08-13T09:00,23.4,70,10.9
2022-08-13T10:00,24.8,63,9.0
2022-08-13T11:00,25.2,60,2.9
2022-08-13T12:00,22.1,77,12.3
2022-08-13T13:00,20.0,95,5.9
2022-08-13T14:00,19.0,98,6.1
2022-08-13T15:00,19.3,93,3.6
